keyword,volumen_mensual,dificultad_kd,intent,pagina_destino,prioridad,notas
renta iluminacion bodas cdmx,720,45,transaccional,/servicios/renta-iluminacion-bodas/,alta,keyword principal bodas
renta iluminacion eventos cdmx,590,42,transaccional,/,alta,keyword general
renta luces xv años cdmx,480,38,transaccional,/servicios/renta-iluminacion-xv-anos/,alta,mercado joven importante
renta de luces para bodas ciudad de mexico,410,40,transaccional,/servicios/renta-iluminacion-bodas/,alta,variación long-tail
iluminacion para bodas cdmx,380,35,comercial,/servicios/renta-iluminacion-bodas/,alta,informacional-comercial
renta guirnaldas luces bodas cdmx,390,25,transaccional,/catalogo/guirnaldas-led/,alta,producto estrella bodas
sky tracker renta cdmx,320,28,transaccional,/catalogo/sky-tracker/,media,producto premium
iluminacion arquitectonica eventos,260,30,comercial,/catalogo/iluminacion-arquitectonica/,media,nicho corporativo
cabezas moviles renta cdmx,210,32,transaccional,/catalogo/cabezas-moviles/,media,producto técnico
luz negra fiestas cdmx,170,22,transaccional,/catalogo/luz-negra-uv/,baja,nicho fiestas temáticas
laser eventos renta cdmx,140,25,transaccional,/catalogo/laser/,baja,efecto especial
gobos proyeccion logo renta,90,18,comercial,/catalogo/gobos-proyeccion/,media,nicho corporativo
renta iluminacion estado de mexico,120,20,transaccional,/zonas-servicio/estado-mexico/,alta,expansión geográfica
iluminacion eventos naucalpan,60,15,transaccional,/zonas-servicio/estado-mexico/naucalpan/,media,local EdoMex
renta luces polanco,70,18,transaccional,/zonas-servicio/cdmx/polanco/,alta,zona premium
cascadas led eventos,50,15,transaccional,/catalogo/cascadas-led/,media,producto decorativo
iluminacion pista baile led,110,25,transaccional,/catalogo/efectos-especiales/,media,producto popular
luces neon personalizadas renta,60,20,transaccional,/catalogo/luces-neon/,media,tendencia actual
renta luces vintage bodas,90,18,transaccional,/catalogo/guirnaldas-led/,alta,estilo popular
iluminacion boda hacienda,70,15,transaccional,/servicios/renta-iluminacion-bodas/,alta,nicho premium
luces para terraza evento,50,12,transaccional,/catalogo/iluminacion-arquitectonica/,media,uso específico
cuanto cuesta iluminacion boda cdmx,80,22,comercial,/servicios/renta-iluminacion-bodas/,alta,intent precio
precio iluminacion xv años,60,20,comercial,/servicios/renta-iluminacion-xv-anos/,media,intent precio
mejores empresas iluminacion cdmx,40,35,comercial,/,media,comparativo
como iluminar boda noche,120,18,informacional,/blog/guia-iluminacion-bodas/,media,contenido blog
tipos luces para eventos,90,15,informacional,/blog/tipos-luces-eventos/,media,contenido blog
tendencias iluminacion bodas 2025,70,12,informacional,/blog/tendencias-iluminacion-bodas-2025/,media,contenido temporal
errores iluminacion boda,50,10,informacional,/blog/errores-iluminacion-boda/,media,contenido blog
renta sonido iluminacion cdmx,180,40,transaccional,/,media,servicio combinado
paquete dj iluminacion cdmx,150,35,transaccional,/servicios/paquete-dj-iluminacion/,media,venta cruzada
cotizar iluminacion boda,60,15,transaccional,/cotizacion-rapida/,alta,alta conversión
contratar iluminacion evento,50,18,transaccional,/contacto/,alta,alta conversión
renta luces boda al aire libre,40,12,transaccional,/servicios/renta-iluminacion-bodas/,media,uso específico
iluminacion salon fiestas,70,25,transaccional,/servicios/renta-iluminacion-fiestas/,media,venue tipo
renta city color cdmx,30,15,transaccional,/catalogo/city-color/,baja,producto específico
luces para boda en jardin,60,18,transaccional,/servicios/renta-iluminacion-bodas/,media,uso específico
iluminacion eventos huixquilucan,40,12,transaccional,/zonas-servicio/estado-mexico/huixquilucan/,media,zona residencial
renta luces santa fe cdmx,50,15,transaccional,/zonas-servicio/cdmx/santa-fe/,media,zona corporativa
iluminacion graduacion cdmx,40,12,transaccional,/servicios/renta-iluminacion-eventos-corporativos/,baja,nicho escolar
renta luces coyoacan,45,15,transaccional,/zonas-servicio/cdmx/coyoacan/,media,zona cultural
iluminacion conferencias mexico,60,28,transaccional,/servicios/renta-iluminacion-eventos-corporativos/,media,B2B
renta equipo iluminacion profesional,80,35,comercial,/catalogo/,media,técnico
servicio dj iluminacion bodas,90,30,transaccional,/servicios/paquete-dj-iluminacion/,media,servicio combinado
efectos especiales eventos cdmx,70,25,transaccional,/catalogo/efectos-especiales/,media,categoría general
maquina humo eventos renta,40,15,transaccional,/catalogo/efectos-especiales/,baja,producto específico
luces roboticas renta cdmx,50,20,transaccional,/catalogo/cabezas-moviles/,media,sinónimo cabezas móviles
iluminacion lanzamiento producto,30,22,transaccional,/servicios/renta-iluminacion-eventos-corporativos/,media,B2B específico
